Genes;PT186rna;T15NFREE;T45NFREE;NFREE;TENDNFREE;T15NH4;T45NH4;NH4;TENDNH4;T15NO2;T45NO2;TENDNO2;T15NO3;T45NO3;NO3SPIKE;TENDNO3;PT3OVvsPT3OVrna;Pt8Tc-Pt8TcRNAseq;PTCRvsPTCRrna;Total
Phatr3_J46110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Phatr3_J46163;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Phatr3_J46373;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J46677;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2
Phatr3_J46707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_J46938;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J46942;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Phatr3_J46954;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;1;0;0;8
Phatr3_J47140;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;8
Phatr3_J47175;0;1;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;8
Phatr3_J47310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Phatr3_J47436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Phatr3_J47536;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Phatr3_J47592;0;0;1;1;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;8
Phatr3_J47620;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Phatr3_J47686;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Phatr3_J47750;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J47780;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2
Phatr3_J47806;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J47898;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
Phatr3_J47927;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J47934;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J48067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Phatr3_J48128;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;3
Phatr3_J48195;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
Phatr3_J48307;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J48518;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J48565;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
Phatr3_J48689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J49055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_J49088;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J49122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
Phatr3_J49147;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;4
Phatr3_J49150;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J49200;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;4
Phatr3_J49237;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Phatr3_J49276;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;4
Phatr3_J49297;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;16
Phatr3_J49299;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
Phatr3_J49316;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
Phatr3_J49318;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;4
Phatr3_J49337;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J49410;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2
Phatr3_J4950;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Phatr3_J49648;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
Phatr3_J49728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J49733;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Phatr3_J49855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J49862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Phatr3_J49883;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;16
Phatr3_J49934;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J49935;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;5
Phatr3_J49936;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;13
Phatr3_J49938;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;15
Phatr3_J49939;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;5
Phatr3_J49956;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;14
Phatr3_J49957;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;5
Phatr3_J49958;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;14
Phatr3_J49960;0;1;1;1;1;0;1;1;1;0;1;0;0;0;1;1;0;0;0;10
Phatr3_J49963;0;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;12
Phatr3_J49964;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J49965;0;1;1;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;7
Phatr3_J49969;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;13
Phatr3_J49977;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;7
Phatr3_J49978;0;0;1;1;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;9
Phatr3_J49980;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
Phatr3_J50003;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Phatr3_J50098;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;3
Phatr3_J50150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J50156;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J50164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J50171;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J50212;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4
Phatr3_J50330;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3
Phatr3_J50343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J50390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Phatr3_J51630;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Phatr3_J52561;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J52648;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Phatr3_J54409;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J54611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Phatr3_J54907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J55126;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;15
Phatr3_J6437;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2
Phatr3_J6698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_J7678;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_J7942;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Phatr3_Jdraft1182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_Jdraft1233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_Jdraft1248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_Jdraft1372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2
Phatr3_Jdraft1400;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_Jdraft1559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Phatr3_Jdraft1583;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
Phatr3_Jdraft1590;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Phatr3_Jdraft1619;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;8
Phatr3_Jdraft1668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Phatr3_Jdraft1737;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;6
Phatr3_Jdraft1764;0;1;1;1;0;0;1;0;0;1;0;1;1;1;1;0;0;0;0;9
Phatr3_Jdraft1766;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;12
